day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
2026-03-01,BTC,iron_condor,65776.47,68830.06,-0.66,0.03,-0.69
2026-03-02,BTC,iron_condor,68830.06,68338.0,0.27,0.02,0.25
2026-03-03,BTC,iron_condor,68338.0,72666.77,-1.1,0.04,-1.13
2026-03-04,BTC,iron_condor,72666.77,70890.72,0.29,0.02,0.27
2026-03-05,BTC,iron_condor,70890.72,68114.02,-0.36,0.03,-0.39
2026-03-06,BTC,iron_condor,68114.02,67262.91,0.27,0.02,0.25
2026-03-07,BTC,iron_condor,67262.91,65971.2,0.26,0.02,0.25
2026-03-08,BTC,iron_condor,65971.2,68432.16,-0.06,0.03,-0.09
2026-03-09,BTC,iron_condor,68432.16,69948.63,0.27,0.02,0.25
2026-03-10,BTC,iron_condor,69948.63,70191.86,0.28,0.02,0.26
2026-03-11,BTC,iron_condor,70191.86,70541.34,0.28,0.02,0.26
2026-03-12,BTC,iron_condor,70541.34,70930.0,0.27,0.02,0.25
2026-03-13,BTC,iron_condor,70930.0,71211.95,0.27,0.02,0.26
2026-03-14,BTC,iron_condor,71211.95,72815.24,0.23,0.01,0.22
2026-03-15,BTC,iron_condor,72815.24,74884.67,-0.17,0.02,-0.19
2026-03-16,BTC,iron_condor,74884.67,73909.36,0.21,0.01,0.2
2026-03-17,BTC,iron_condor,73909.36,71246.54,-1.19,0.02,-1.2
2026-03-18,BTC,iron_condor,71246.54,69930.0,0.23,0.01,0.21
2026-03-19,BTC,iron_condor,69930.0,70906.45,0.21,0.01,0.2
2026-03-23,BTC,iron_condor,70906.45,70556.74,0.21,0.01,0.2
2026-03-24,BTC,iron_condor,70556.74,68820.31,-0.19,0.02,-0.21
2026-03-26,BTC,iron_condor,68820.31,66407.28,-0.8,0.02,-0.82
2026-03-27,BTC,iron_condor,66407.28,66377.03,0.22,0.01,0.21
2026-03-28,BTC,iron_condor,66377.03,66010.93,0.22,0.01,0.21
2026-03-29,BTC,iron_condor,66010.93,66797.37,0.2,0.01,0.19
2026-03-30,BTC,iron_condor,66797.37,68284.48,-0.09,0.02,-0.11
2026-03-31,BTC,iron_condor,68284.48,68113.92,0.21,0.01,0.2
2026-04-01,BTC,iron_condor,68113.92,66901.99,0.17,0.01,0.16
2026-04-02,BTC,iron_condor,66901.99,66964.3,0.19,0.01,0.18
2026-04-03,BTC,iron_condor,66964.3,67300.42,0.18,0.01,0.17
2026-04-04,BTC,iron_condor,67300.42,69034.18,-0.36,0.02,-0.38
2026-04-05,BTC,iron_condor,69034.18,68853.66,0.19,0.01,0.18
2026-04-06,BTC,iron_condor,68853.66,71924.22,-1.23,0.02,-1.25
2026-04-07,BTC,iron_condor,71924.22,71069.93,0.2,0.01,0.19
2026-04-08,BTC,iron_condor,71069.93,71787.97,0.2,0.01,0.19
2026-04-09,BTC,iron_condor,71787.97,72962.7,0.21,0.01,0.2
2026-04-10,BTC,iron_condor,72962.7,73043.16,0.21,0.01,0.2
2026-04-11,BTC,iron_condor,73043.16,70740.98,-0.82,0.02,-0.84
2026-04-12,BTC,iron_condor,70740.98,74417.99,-1.2,0.03,-1.23
2026-04-13,BTC,iron_condor,74417.99,75154.29,0.26,0.02,0.24
2026-04-16,BTC,iron_condor,75154.29,77072.0,0.26,0.02,0.24
2026-04-17,BTC,iron_condor,77072.0,75691.76,0.27,0.02,0.25
2026-04-18,BTC,iron_condor,75691.76,73801.79,0.27,0.02,0.25
2026-04-19,BTC,iron_condor,73801.79,75840.97,0.13,0.02,0.11
2026-04-20,BTC,iron_condor,75840.97,76336.15,0.27,0.02,0.25
2026-04-21,BTC,iron_condor,76336.15,78178.23,0.27,0.02,0.25
2026-04-22,BTC,iron_condor,78178.23,78257.48,0.28,0.02,0.26
2026-04-23,BTC,iron_condor,78257.48,77437.13,0.28,0.02,0.26
2026-04-24,BTC,iron_condor,77437.13,77625.0,0.26,0.01,0.24
2026-04-25,BTC,iron_condor,77625.0,78657.55,0.22,0.01,0.21
2026-04-26,BTC,iron_condor,78657.55,77371.32,0.22,0.01,0.21
2026-04-27,BTC,iron_condor,77371.32,76342.77,0.22,0.01,0.21
2026-04-28,BTC,iron_condor,76342.77,75780.0,0.21,0.01,0.2
2026-04-29,BTC,iron_condor,75780.0,76346.57,0.19,0.01,0.18
2026-04-30,BTC,iron_condor,76346.57,78231.13,-0.73,0.02,-0.75
2026-05-01,BTC,iron_condor,78231.13,78686.85,0.19,0.01,0.18
2026-05-02,BTC,iron_condor,78686.85,78568.57,0.17,0.01,0.16
2026-05-03,BTC,iron_condor,78568.57,79861.01,-0.1,0.02,-0.11
2026-05-04,BTC,iron_condor,79861.01,80905.52,0.17,0.01,0.16
2026-05-05,BTC,iron_condor,80905.52,81447.01,0.18,0.01,0.17
2026-05-06,BTC,iron_condor,81447.01,80006.0,-0.23,0.02,-0.25
2026-05-07,BTC,iron_condor,80006.0,80193.17,0.18,0.01,0.17
2026-05-08,BTC,iron_condor,80193.17,80678.4,0.16,0.01,0.15
2026-05-09,BTC,iron_condor,80678.4,82210.07,-0.46,0.02,-0.47
2026-05-10,BTC,iron_condor,82210.07,81745.65,0.16,0.01,0.16
2026-05-11,BTC,iron_condor,81745.65,80504.47,-0.23,0.02,-0.25
2026-05-12,BTC,iron_condor,80504.47,79313.61,-0.05,0.02,-0.06
2026-05-13,BTC,iron_condor,79313.61,81089.99,-0.5,0.02,-0.51
2026-05-14,BTC,iron_condor,81089.99,79113.21,-0.65,0.02,-0.67
2026-05-15,BTC,iron_condor,79113.21,78148.05,0.2,0.01,0.19
2026-05-16,BTC,iron_condor,78148.05,77457.67,0.2,0.01,0.19
2026-05-17,BTC,iron_condor,77457.67,77001.87,0.19,0.01,0.18
2026-05-18,BTC,iron_condor,77001.87,76834.36,0.19,0.01,0.18
2026-05-19,BTC,iron_condor,76834.36,77552.23,0.18,0.01,0.18
2026-05-20,BTC,iron_condor,77552.23,74449.3,-1.38,0.02,-1.41
2026-05-27,BTC,iron_condor,74449.3,73884.38,0.2,0.01,0.19
2026-05-30,BTC,iron_condor,73884.38,73674.39,0.2,0.01,0.19
2026-05-31,BTC,iron_condor,73674.39,71408.9,-0.84,0.02,-0.86
2026-06-01,BTC,iron_condor,71408.9,63085.99,-1.25,0.02,-1.28
2026-06-08,BTC,iron_condor,63085.99,61510.99,0.27,0.02,0.25
2026-06-10,BTC,iron_condor,61510.99,63625.99,0.26,0.02,0.24
2026-06-11,BTC,iron_condor,63625.99,63580.01,0.28,0.02,0.26
2026-06-12,BTC,iron_condor,63580.01,64458.01,0.28,0.02,0.26
2026-06-13,BTC,iron_condor,64458.01,65746.45,0.29,0.02,0.27
2026-06-14,BTC,iron_condor,65746.45,66328.74,0.3,0.02,0.27
2026-06-15,BTC,iron_condor,66328.74,65675.01,0.3,0.02,0.28
2026-06-16,BTC,iron_condor,65675.01,64509.4,0.3,0.02,0.27
2026-06-17,BTC,iron_condor,64509.4,62958.01,0.29,0.02,0.27
2026-06-18,BTC,iron_condor,62958.01,63543.91,0.28,0.02,0.26
2026-06-19,BTC,iron_condor,63543.91,64298.01,0.19,0.01,0.18
2026-06-20,BTC,iron_condor,64298.01,63311.99,0.18,0.01,0.17
2026-06-21,BTC,iron_condor,63311.99,64020.01,0.16,0.01,0.15
2026-06-22,BTC,iron_condor,64020.01,62734.57,-0.14,0.01,-0.16
2026-06-23,BTC,iron_condor,62734.57,61077.99,-0.5,0.01,-0.51
2026-06-24,BTC,iron_condor,61077.99,59794.0,-0.19,0.01,-0.21
2026-06-25,BTC,iron_condor,59794.0,60097.27,0.15,0.01,0.14
2026-06-26,BTC,iron_condor,60097.27,60029.0,0.15,0.01,0.15
2026-06-27,BTC,iron_condor,60029.0,59577.01,0.15,0.01,0.15
2026-06-28,BTC,iron_condor,59577.01,60260.21,0.14,0.01,0.14
2026-06-29,BTC,iron_condor,60260.21,58624.71,-0.62,0.01,-0.63
2026-06-30,BTC,iron_condor,58624.71,60024.0,-0.35,0.01,-0.36
2026-07-01,BTC,iron_condor,60024.0,61560.0,-0.26,0.02,-0.27
2026-07-02,BTC,iron_condor,61560.0,62583.26,0.19,0.01,0.18
2026-07-03,BTC,iron_condor,62583.26,63144.01,0.19,0.01,0.18
2026-07-04,BTC,iron_condor,63144.01,63650.0,0.18,0.01,0.17
2026-07-05,BTC,iron_condor,63650.0,64042.02,0.16,0.01,0.15
2026-07-06,BTC,iron_condor,64042.02,63363.99,0.16,0.01,0.15
2026-07-07,BTC,iron_condor,63363.99,62290.0,0.1,0.01,0.09
2026-07-08,BTC,iron_condor,62290.0,63230.0,0.17,0.01,0.16
2026-07-09,BTC,iron_condor,63230.0,64161.72,0.17,0.01,0.17
2026-07-10,BTC,iron_condor,64161.72,63819.0,0.14,0.01,0.14
2026-07-11,BTC,iron_condor,63819.0,62334.52,-0.52,0.01,-0.54
2026-07-13,BTC,iron_condor,62334.52,65043.98,-1.1,0.02,-1.12
2026-07-14,BTC,iron_condor,65043.98,64756.28,0.19,0.01,0.18
2026-07-15,BTC,iron_condor,64756.28,63830.2,0.19,0.01,0.18
2026-07-16,BTC,iron_condor,63830.2,63931.67,0.19,0.01,0.18
2026-07-17,BTC,iron_condor,63931.67,64834.22,0.19,0.01,0.18
2026-07-18,BTC,iron_condor,64834.22,64722.54,0.19,0.01,0.18
2026-07-19,BTC,iron_condor,64722.54,65255.51,0.19,0.01,0.18
2026-07-20,BTC,iron_condor,65255.51,64139.99,0.18,0.01,0.18
2026-07-24,BTC,iron_condor,64139.99,64375.0,0.19,0.01,0.18
2026-07-25,BTC,iron_condor,64375.0,65399.99,0.19,0.01,0.18
2026-07-26,BTC,iron_condor,65399.99,63755.86,-0.38,0.02,-0.4
2026-07-27,BTC,iron_condor,63755.86,63915.0,0.14,0.01,0.14
2026-07-28,BTC,iron_condor,63915.0,63984.28,0.14,0.01,0.14
2026-07-29,BTC,iron_condor,63984.28,64780.02,0.14,0.01,0.13
2026-07-30,BTC,iron_condor,64780.02,62887.88,-0.91,0.01,-0.92
2026-07-31,BTC,iron_condor,62887.88,62823.64,0.16,0.01,0.15
