day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
2026-03-01,BTC,long_strangle,65776.47,68830.06,0.98,0.02,0.96
2026-03-02,BTC,long_strangle,68830.06,68338.0,-0.65,0.02,-0.66
2026-03-03,BTC,long_strangle,68338.0,72666.77,2.18,0.02,2.15
2026-03-04,BTC,long_strangle,72666.77,70890.72,-0.38,0.03,-0.41
2026-03-05,BTC,long_strangle,70890.72,68114.02,0.67,0.02,0.65
2026-03-06,BTC,long_strangle,68114.02,67262.91,-0.64,0.02,-0.65
2026-03-07,BTC,long_strangle,67262.91,65971.2,-0.63,0.02,-0.65
2026-03-08,BTC,long_strangle,65971.2,68432.16,0.39,0.02,0.36
2026-03-09,BTC,long_strangle,68432.16,69948.63,-0.64,0.02,-0.65
2026-03-10,BTC,long_strangle,69948.63,70191.86,-0.66,0.02,-0.67
2026-03-11,BTC,long_strangle,70191.86,70541.34,-0.7,0.02,-0.72
2026-03-12,BTC,long_strangle,70541.34,70930.0,-0.64,0.02,-0.66
2026-03-13,BTC,long_strangle,70930.0,71211.95,-0.64,0.02,-0.66
2026-03-14,BTC,long_strangle,71211.95,72815.24,-0.0,0.03,-0.03
2026-03-15,BTC,long_strangle,72815.24,74884.67,0.45,0.03,0.43
2026-03-16,BTC,long_strangle,74884.67,73909.36,-0.29,0.02,-0.31
2026-03-17,BTC,long_strangle,73909.36,71246.54,1.41,0.02,1.39
2026-03-18,BTC,long_strangle,71246.54,69930.0,-0.13,0.03,-0.16
2026-03-19,BTC,long_strangle,69930.0,70906.45,-0.42,0.02,-0.44
2026-03-23,BTC,long_strangle,70906.45,70556.74,-0.41,0.02,-0.43
2026-03-24,BTC,long_strangle,70556.74,68820.31,0.43,0.02,0.4
2026-03-26,BTC,long_strangle,68820.31,66407.28,1.04,0.02,1.02
2026-03-27,BTC,long_strangle,66407.28,66377.03,-0.46,0.02,-0.48
2026-03-28,BTC,long_strangle,66377.03,66010.93,-0.46,0.02,-0.47
2026-03-29,BTC,long_strangle,66010.93,66797.37,-0.41,0.02,-0.42
2026-03-30,BTC,long_strangle,66797.37,68284.48,0.31,0.02,0.28
2026-03-31,BTC,long_strangle,68284.48,68113.92,-0.42,0.02,-0.44
2026-04-01,BTC,long_strangle,68113.92,66901.99,0.05,0.02,0.02
2026-04-02,BTC,long_strangle,66901.99,66964.3,-0.36,0.01,-0.37
2026-04-03,BTC,long_strangle,66964.3,67300.42,-0.34,0.01,-0.35
2026-04-04,BTC,long_strangle,67300.42,69034.18,0.58,0.02,0.56
2026-04-05,BTC,long_strangle,69034.18,68853.66,-0.37,0.02,-0.39
2026-04-06,BTC,long_strangle,68853.66,71924.22,2.18,0.02,2.16
2026-04-07,BTC,long_strangle,71924.22,71069.93,-0.38,0.02,-0.39
2026-04-08,BTC,long_strangle,71069.93,71787.97,-0.4,0.02,-0.41
2026-04-09,BTC,long_strangle,71787.97,72962.7,-0.16,0.03,-0.18
2026-04-10,BTC,long_strangle,72962.7,73043.16,-0.4,0.02,-0.41
2026-04-11,BTC,long_strangle,73043.16,70740.98,1.05,0.02,1.03
2026-04-12,BTC,long_strangle,70740.98,74417.99,2.23,0.03,2.2
2026-04-13,BTC,long_strangle,74417.99,75154.29,-0.55,0.02,-0.57
2026-04-16,BTC,long_strangle,75154.29,77072.0,0.06,0.03,0.03
2026-04-17,BTC,long_strangle,77072.0,75691.76,-0.43,0.02,-0.46
2026-04-18,BTC,long_strangle,75691.76,73801.79,0.01,0.03,-0.01
2026-04-19,BTC,long_strangle,73801.79,75840.97,0.18,0.03,0.15
2026-04-20,BTC,long_strangle,75840.97,76336.15,-0.58,0.02,-0.6
2026-04-21,BTC,long_strangle,76336.15,78178.23,-0.12,0.03,-0.15
2026-04-22,BTC,long_strangle,78178.23,78257.48,-0.61,0.02,-0.63
2026-04-23,BTC,long_strangle,78257.48,77437.13,-0.61,0.02,-0.63
