day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
D0000,BTC,iron_condor,60000.0,59699.65,236.01,16.47,219.55
D0001,BTC,iron_condor,59699.65,59347.08,234.86,16.38,218.47
D0002,BTC,iron_condor,59347.08,59110.81,233.47,16.29,217.19
D0003,BTC,iron_condor,59110.81,60398.65,232.54,16.23,216.32
D0004,BTC,iron_condor,60398.65,60127.46,237.58,16.57,221.01
D0005,BTC,iron_condor,60127.46,57337.14,-743.3,36.8,-780.09
D0006,BTC,iron_condor,57337.14,57910.11,225.63,15.74,209.89
D0007,BTC,iron_condor,57910.11,57397.63,227.7,15.89,211.82
D0008,BTC,iron_condor,57397.63,56979.76,225.81,15.75,210.06
D0009,BTC,iron_condor,56979.76,57159.32,224.2,15.64,208.56
D0010,BTC,iron_condor,57159.32,57549.45,158.21,7.55,150.66
D0011,BTC,iron_condor,57549.45,59661.9,-886.05,28.92,-914.97
D0012,BTC,iron_condor,59661.9,60874.99,192.05,10.3,181.75
D0013,BTC,iron_condor,60874.99,61056.5,200.27,10.97,189.29
D0014,BTC,iron_condor,61056.5,59627.64,50.17,16.43,33.74
D0015,BTC,iron_condor,59627.64,57729.03,-369.62,31.42,-401.05
D0016,BTC,iron_condor,57729.03,58148.7,174.57,8.86,165.71
D0017,BTC,iron_condor,58148.7,60563.08,-987.97,33.1,-1021.07
D0018,BTC,iron_condor,60563.08,60612.46,202.02,11.23,190.79
D0019,BTC,iron_condor,60612.46,60380.63,200.08,11.01,189.08
D0020,BTC,iron_condor,60380.63,61367.22,200.69,11.1,189.59
D0021,BTC,iron_condor,61367.22,58599.93,-1021.73,38.8,-1060.53
D0022,BTC,iron_condor,58599.93,57999.42,209.04,12.59,196.45
D0023,BTC,iron_condor,57999.42,58870.49,201.97,11.79,190.18
D0024,BTC,iron_condor,58870.49,60477.81,151.46,14.75,136.71
D0025,BTC,iron_condor,60477.81,59992.9,216.76,13.12,203.64
D0026,BTC,iron_condor,59992.9,60676.74,203.08,11.46,191.61
D0027,BTC,iron_condor,60676.74,61121.43,205.86,11.65,194.21
D0028,BTC,iron_condor,61121.43,62610.85,-35.26,18.7,-53.96
D0029,BTC,iron_condor,62610.85,60429.91,-678.08,31.94,-710.02
D0030,BTC,iron_condor,60429.91,61487.71,209.59,12.18,197.42
D0031,BTC,iron_condor,61487.71,58602.65,-1016.24,40.68,-1056.92
D0032,BTC,iron_condor,58602.65,53947.23,-966.39,50.31,-1016.7
D0033,BTC,long_strangle,53947.23,52902.65,-587.1,24.25,-611.35
D0034,BTC,iron_condor,52902.65,51377.43,220.64,17.21,203.44
D0035,BTC,iron_condor,51377.43,52784.48,208.37,15.36,193.01
D0036,BTC,long_strangle,52784.48,53870.64,-570.75,23.57,-594.32
D0037,BTC,long_strangle,53870.64,51821.6,171.6,42.91,128.69
D0038,BTC,long_strangle,51821.6,53192.93,-566.39,24.13,-590.52
D0039,BTC,long_strangle,53192.93,51519.37,-203.19,40.74,-243.93
D0040,BTC,long_strangle,51519.37,51354.68,-572.97,23.66,-596.63
D0041,BTC,iron_condor,51354.68,50857.77,214.33,16.72,197.61
D0042,BTC,iron_condor,50857.77,51015.69,208.06,15.61,192.44
D0043,BTC,iron_condor,51015.69,52318.48,154.18,11.01,143.18
D0044,BTC,iron_condor,52318.48,53351.72,185.23,11.05,174.18
