ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-22T17:16:31.326714,BTC,put,82800.0,2026-08-23,5491.6,5491.6,63.0,-1.0,0.0,-0.0,0.0,0.246,,,,77313.2,P-BTC-82800-230826
2026-08-22T17:16:31.326714,BTC,put,82400.0,2026-08-23,5091.6,5091.6,59.2,-1.0,0.0,-0.0,0.0,0.0,,,,77313.2,P-BTC-82400-230826
2026-08-22T17:16:31.326714,BTC,put,82000.0,2026-08-23,4691.6,4691.6,55.4,-1.0,0.0,-0.0,0.0,1.003,,,,77313.2,P-BTC-82000-230826
2026-08-22T17:16:31.326714,BTC,put,81600.0,2026-08-23,4291.6,4291.6,51.4,-1.0,0.0,-0.0,0.0,0.01,,,,77313.2,P-BTC-81600-230826
2026-08-22T17:16:31.326714,BTC,put,81200.0,2026-08-23,3891.6,3891.6,47.4,-1.0,0.0,-0.0,0.0,0.0,,,,77313.2,P-BTC-81200-230826
2026-08-22T17:16:31.326714,BTC,put,80800.0,2026-08-23,3491.6,3491.6,43.4,-1.0,0.0,-0.0,0.0,0.053,,,,77313.2,P-BTC-80800-230826
2026-08-22T17:16:31.326714,BTC,put,80400.0,2026-08-23,3093.11298556,3093.11298556,39.8,-0.99381235,1.446e-05,-13.52506429,0.62457799,0.055,,,,77313.2,P-BTC-80400-230826
2026-08-22T17:16:31.326714,BTC,put,80000.0,2026-08-23,2702.57773049,2702.57773049,38.3,-0.97836449,3.97e-05,-43.23064611,1.84977983,2.519,,,,77313.2,P-BTC-80000-230826
2026-08-22T17:16:31.326714,BTC,put,79600.0,2026-08-23,2309.20657683,2309.20657683,35.1,-0.96381987,6.346e-05,-63.65668528,2.83810951,0.072,,,,77313.2,P-BTC-79600-230826
2026-08-22T17:16:31.326714,BTC,put,79400.0,2026-08-23,2114.18364654,2114.18364654,33.7,-0.95412988,7.902e-05,-75.13764944,3.44071278,0.023,,,,77313.2,P-BTC-79400-230826
2026-08-22T17:16:31.326714,BTC,put,79200.0,2026-08-23,1921.2550692,1921.2550692,32.4,-0.94108212,9.876e-05,-89.48242615,4.19766462,0.931,,,,77313.2,P-BTC-79200-230826
2026-08-22T17:16:31.326714,BTC,put,79000.0,2026-08-23,1731.02348741,1731.02348741,31.3,-0.92344186,0.00012298,-107.71792654,5.13948,0.635,,,,77313.2,P-BTC-79000-230826
