ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-09T15:25:51.422357,ETH,put,2040.0,2026-08-10,113.15,113.15,51.5,-1.0,0.0,-0.0,0.0,11.01,,,,1926.85,P-ETH-2040-100826
2026-08-09T15:25:51.422357,ETH,put,2020.0,2026-08-10,93.15,93.15,43.8,-1.0,0.0,-0.0,0.0,6.61,,,,1926.85,P-ETH-2020-100826
2026-08-09T15:25:51.422357,ETH,put,2000.0,2026-08-10,73.29385021,73.29385021,38.0,-0.98595995,0.00109868,-0.67952326,0.03340482,5.65,,,,1926.85,P-ETH-2000-100826
2026-08-09T15:25:51.422357,ETH,put,1980.0,2026-08-10,54.00024596,54.00024596,35.5,-0.93911306,0.00357505,-2.36909404,0.11251596,4.09,,,,1926.85,P-ETH-1980-100826
2026-08-09T15:25:51.422357,ETH,put,1970.0,2026-08-10,44.7433983,44.7433983,34.6,-0.89938006,0.00531767,-3.40916199,0.16461513,0.0,,,,1926.85,P-ETH-1970-100826
2026-08-09T15:25:51.422357,ETH,put,1960.0,2026-08-10,35.91633312,35.91633312,33.7,-0.83810542,0.0074245,-4.72335565,0.22894317,19.45,,,,1926.85,P-ETH-1960-100826
2026-08-09T15:25:51.422357,ETH,put,1950.0,2026-08-10,27.76006563,27.76006563,33.0,-0.75920313,0.00963762,-5.87052699,0.29080247,4.45,,,,1926.85,P-ETH-1950-100826
2026-08-09T15:25:51.422357,ETH,put,1940.0,2026-08-10,20.4721184,20.4721184,32.4,-0.65579947,0.01149788,-6.87486545,0.34373327,218.13,,,,1926.85,P-ETH-1940-100826
2026-08-09T15:25:51.422357,ETH,put,1930.0,2026-08-10,14.35159606,14.35159606,32.0,-0.53637507,0.0124878,-7.37268256,0.37095896,148.46,,,,1926.85,P-ETH-1930-100826
2026-08-09T15:25:51.422357,ETH,put,1920.0,2026-08-10,9.48420275,9.48420275,31.7,-0.41185852,0.01223699,-7.21927725,0.36338045,782.37,,,,1926.85,P-ETH-1920-100826
2026-08-09T15:25:51.422357,ETH,put,1910.0,2026-08-10,5.94577866,5.94577866,31.8,-0.2943845,0.0108431,-6.39223806,0.32186366,175.12,,,,1926.85,P-ETH-1910-100826
2026-08-09T15:25:51.422357,ETH,put,1900.0,2026-08-10,3.54825213,3.54825213,32.0,-0.19737717,0.0086562,-5.19831082,0.25934353,896.28,,,,1926.85,P-ETH-1900-100826
2026-08-09T15:25:51.422357,ETH,put,1890.0,2026-08-10,2.01687214,2.01687214,32.4,-0.12374534,0.00631064,-3.86202658,0.19086501,96.89,,,,1926.85,P-ETH-1890-100826
2026-08-09T15:25:51.422357,ETH,put,1880.0,2026-08-10,1.08787606,1.08787606,32.8,-0.07409382,0.00425041,-2.6995159,0.13095478,399.21,,,,1926.85,P-ETH-1880-100826
2026-08-09T15:25:51.422357,ETH,put,1870.0,2026-08-10,0.59377528,0.59377528,33.6,-0.0431664,0.0027103,-1.80826762,0.08558716,71.21,,,,1926.85,P-ETH-1870-100826
2026-08-09T15:25:51.422357,ETH,put,1860.0,2026-08-10,0.29654189,0.29654189,34.1,-0.0232183,0.00160044,-1.09956034,0.05128661,660.08,,,,1926.85,P-ETH-1860-100826
2026-08-09T15:25:51.422357,ETH,put,1840.0,2026-08-10,0.10361801,0.10361801,37.1,-0.00840749,0.00061364,-0.49839735,0.02138029,1705.92,,,,1926.85,P-ETH-1840-100826
2026-08-09T15:25:51.422357,ETH,put,1820.0,2026-08-10,0.10371898,0.10371898,44.7,-0.00708295,0.00043735,-0.51712007,0.01838623,2335.79,,,,1926.85,P-ETH-1820-100826
2026-08-09T15:25:51.422357,ETH,call,2040.0,2026-08-10,0.10593783,0.10593783,44.3,0.00721634,0.00044748,-0.52234298,0.01869121,1929.33,,,,1926.85,C-ETH-2040-100826
2026-08-09T15:25:51.422357,ETH,call,2020.0,2026-08-10,0.10612533,0.10612533,37.5,0.00838458,0.00060304,-0.50472701,0.02132936,3844.77,,,,1926.85,C-ETH-2020-100826
2026-08-09T15:25:51.422357,ETH,call,2000.0,2026-08-10,0.40351828,0.40351828,37.0,0.02806346,0.00172147,-1.40407595,0.06010827,3636.88,,,,1926.85,C-ETH-2000-100826
2026-08-09T15:25:51.422357,ETH,call,1980.0,2026-08-10,1.10936078,1.10936078,35.0,0.07062398,0.00381768,-2.7924427,0.12623178,1441.34,,,,1926.85,C-ETH-1980-100826
2026-08-09T15:25:51.422357,ETH,call,1970.0,2026-08-10,1.84463685,1.84463685,34.2,0.1109849,0.00545094,-3.83229531,0.17670242,85.41,,,,1926.85,C-ETH-1970-100826
2026-08-09T15:25:51.422357,ETH,call,1960.0,2026-08-10,3.02682707,3.02682707,33.4,0.16921894,0.00741162,-5.01022786,0.23558928,1705.32,,,,1926.85,C-ETH-1960-100826
2026-08-09T15:25:51.422357,ETH,call,1950.0,2026-08-10,4.83751222,4.83751222,32.7,0.24729543,0.00949604,-6.13178293,0.29500779,69.28,,,,1926.85,C-ETH-1950-100826
2026-08-09T15:25:51.422357,ETH,call,1940.0,2026-08-10,7.585596,7.585596,32.2,0.34746491,0.01130225,-7.04333273,0.34493928,785.17,,,,1926.85,C-ETH-1940-100826
2026-08-09T15:25:51.422357,ETH,call,1930.0,2026-08-10,11.42601307,11.42601307,31.8,0.46473672,0.01223839,-7.5268157,0.37105364,223.04,,,,1926.85,C-ETH-1930-100826
2026-08-09T15:25:51.422357,ETH,call,1920.0,2026-08-10,16.55433398,16.55433398,31.5,0.58724383,0.01206934,-7.32694317,0.36357243,679.1,,,,1926.85,C-ETH-1920-100826
2026-08-09T15:25:51.422357,ETH,call,1910.0,2026-08-10,22.98919687,22.98919687,31.4,0.70215949,0.01069977,-6.54744848,0.3235948,106.61,,,,1926.85,C-ETH-1910-100826
2026-08-09T15:25:51.422357,ETH,call,1900.0,2026-08-10,30.61768103,30.61768103,31.7,0.79753663,0.00859818,-5.39615282,0.26333848,193.72,,,,1926.85,C-ETH-1900-100826
2026-08-09T15:25:51.422357,ETH,call,1890.0,2026-08-10,39.03182019,39.03182019,31.7,0.86781694,0.0063692,-4.19391287,0.19981713,11.0,,,,1926.85,C-ETH-1890-100826
2026-08-09T15:25:51.422357,ETH,call,1880.0,2026-08-10,48.14934692,48.14934692,32.1,0.91759712,0.00442384,-3.04737555,0.14195252,16.6,,,,1926.85,C-ETH-1880-100826
2026-08-09T15:25:51.422357,ETH,call,1870.0,2026-08-10,57.62495328,57.62495328,32.1,0.94779745,0.00298858,-2.2235745,0.09966334,0.03,,,,1926.85,C-ETH-1870-100826
2026-08-09T15:25:51.422357,ETH,call,1860.0,2026-08-10,67.36971057,67.36971057,32.4,0.96627985,0.00200359,-1.63507126,0.06997568,5.18,,,,1926.85,C-ETH-1860-100826
2026-08-09T15:25:51.422357,ETH,call,1840.0,2026-08-10,87.15300827,87.15300827,23.8,0.9834842,0.00098157,-1.00533632,0.03840584,8.78,,,,1926.85,C-ETH-1840-100826
2026-08-09T15:25:51.422357,ETH,call,1820.0,2026-08-10,107.06082824,107.06082824,5.0,0.9891517,0.00059416,-0.80374076,0.02671735,6.06,,,,1926.85,C-ETH-1820-100826
